Date,Country,News Type,Article,Fact-Checked by
8/11/2020, Spain,FALSE,"A post claims compulsory vacination violates the principles of bioethics, that coronavirus doesn’t exist, that the PCR test returns many false positives, and that influenza vaccine is related to COVID-19.", Maldita.es
8/11/2020, Spain,FALSE,A photo claims that this person is a doctor who died after attending to too many COVID-19 patinents in Hospital Muñiz in Buenos Aires., Maldita.es
8/10/2020, Brazil,FALSE,"All deaths by respiratory failure and pneumonia are being registered as COVID-19, according to the Civil Registry website.", Agência Lupa
8/10/2020, Brazil,FALSE,"60,000 Argentinian companies have closed due to COVID-19; also, all companies receiving government aid during the pandemic will be expropriated by the government", Agência Lupa
8/10/2020, Brazil,FALSE,"Households with COVID-19 patients in Porto Alegre, Campo Grande and Santo Antônio da Platina must put a red ribbon on their garbage bags. Garbagemen are instructed to handle them in a safer way", Agência Lupa
8/10/2020, Argentina,Misleading,A chain lists recommendations to prevent and treat coronavirus., Chequeado
8/10/2020, Spain,FALSE,Post about a video claims that it is a protest against confination in the town of Aranda de Duero (Burgos), Maldita.es
8/10/2020, Spain,FALSE,The dean of the College of Biologists of Euskadi states that there are a lot of PCR false positives and asymptomatic don’t spread coronavirus., Maldita.es
8/10/2020, Spain,FALSE,Social media posts criticize a photo from smiling president of the Goverment Pedro Sánchez during his holidays after thousands died from COVID-19, Maldita.es
8/8/2020, Turkey,FALSE,CDC has released an update on how the novel coronavirus can be transmitted, Teyit
8/8/2020, Colombia,FALSE,Good oral hygiene destroys the coronavirus and prevents its spread, Colombiacheck
8/7/2020, Brazil,Misleading,"A Brazilian deputee says the pandemic has started to decrease in his state, Rio Grande do Sul", Estadão Verifica
8/7/2020, Brazil,FALSE,A picture shows hydroxychloroquine is being sold on public trains in Rio de Janeiro, Estadão Verifica
8/7/2020, India,FALSE,WHO warns against consuming cabbage to prevent COVID-19, Vishvas News
8/7/2020, Turkey,FALSE,A video shows Pakistani minister of Health slapping those who do not obey official measures, Teyit
8/7/2020, Argentina,FALSE,There is evidence that chlorine dioxide cures COVID-19, Chequeado
8/7/2020, Turkey,FALSE,A video shows Pakistani minister of Health slapping those who do not obey official measures, Teyit
8/7/2020, Brazil,FALSE,A picture shows hydroxychloroquine is being sold on public trains in Rio de Janeiro, Estadão Verifica
8/7/2020, India,Misleading,Coronavirus does not settle in air but is grounded – UNICEF, Vishvas News
8/6/2020, Argentina,FALSE,"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): “Right now [there is] a strict quarantine in Barcelona”", Chequeado
